Period ,Pillars,Perte annuelle (ha),Forest cover,% net deforestation rate per year,% loss of forest cover/year
2001,P2-R2.2,465.8765082107,=1372600-C2,,0.03
2002,P2-R2.2,586.4581360853999,=1372600-C3,=(D3-D2)/D2,0.04
2003,P2-R2.2,142.0752642461,=1372600-C4,=(D4-D3)/D3,0.01
2004,P2-R2.2,353.6750706903,=1372600-C5,=(D5-D4)/D4,0.03
2005,P2-R2.2,603.0633280836,=1372600-C6,=(D6-D5)/D5,0.04
2006,P2-R2.2,355.5373352134,=1372600-C7,=(D7-D6)/D6,0.03
2007,P2-R2.2,1241.1217103315,=1372600-C8,=(D8-D7)/D7,0.09
2008,P2-R2.2,261.570571149,=1372600-C9,=(D9-D8)/D8,0.02
2009,P2-R2.2,760.8902464214,=1372600-C10,=(D10-D9)/D9,0.06
2010,P2-R2.2,344.9845029155,=1372600-C11,=(D11-D10)/D10,0.03
2011,P2-R2.2,813.7320022660999,=1372600-C12,=(D12-D11)/D11,0.06
2012,P2-R2.2,295.2465212761,=1372600-C13,=(D13-D12)/D12,0.02
2013,P2-R2.2,443.8397113533001,=1372600-C14,=(D14-D13)/D13,0.03
2014,P2-R2.2,852.6067741871,=1372600-C15,=(D15-D14)/D14,0.06
2015,P2-R2.2,735.3617035830999,=1372600-C16,=(D16-D15)/D15,0.05
2016,P2-R2.2,986.3794424342001,=1372600-C17,=(D17-D16)/D16,0.07
2017,P2-R2.2,1071.2676669482,=1372600-C18,=(D18-D17)/D17,0.08
2018,P2-R2.2,1068.784647584,=1372600-C19,=(D19-D18)/D18,0.08
2019,P2-R2.2,1166.7087237602,=1372600-C20,=(D20-D19)/D19,0.08
2020,P2-R2.2,1324.3804533879,=1372600-C21,=(D21-D20)/D20,0.1
2021,P2-R2.2,1441.703118347,=1372600-C22,=(D22-D21)/D21,0.11
2022,P2-R2.2,1958.6367122344,=1372600-C23,=(D23-D22)/D22,0.14
2023,P2-R2.2,1901.1392950818,=1372600-C24,=(D24-D23)/D23,0.14
2024,P2-R2.2,1819.8980052589,=1372600-C25,=(D25-D24)/D24,0.13
2025,P2-R2.2,1742.128395385577,=1372600-C26,=(D26-D25)/D25,0.001269217831404325
